Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,(Policy Language) Duty to Intervene: Are officers required to intervene when witnessing another officer using excessive force?,Requires Warning Before Shooting,"(Policy Language) Requires Warning Before Shooting: Are officers required to give a verbal warning, when possible, before shooting someone?",Restricts Shooting at Moving Vehicles,(Policy Language) Restricts Shooting at Moving Vehicles: Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?,Requires Comprehensive Reporting,"(Policy Language) Requires Comprehensive Reporting: Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust All Other Means Before Shooting,(Policy Language) Requires Exhaust All Other Means Before Shooting: Are officers required to exhaust all other reasonable alternatives before resorting to deadly force?,Has Use of Force Continuum,"(Policy Language) Has Use of Force Continuum: Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance?",Year of most recent policy,Total Population,Updated Since 2016,Year of most recent policy,Requires De-Escalation New,Use of Force Continuum New,Ban Chokeholds and Strangleholds New,Require Warning Before Shooting New,Ban Shooting at Moving Vehicles New,Exhaust All Alternatives New,Duty to Intervene New,Comprehensive Reporting New
Rochester,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"On June 12th 2020, Governor Cuomo signed into law the following ""Establishes the crime of aggravated strangulation for police officers or peace officers where such officer commits the crime of criminal obstruction or breathing or blood circulation, or uses a chokehold or similar restraint, and causes serious physical injury or death.""",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""Discharge of a firearm from or at a moving vehicle is prohibited unless the member reasonably believes that the occupant(s) of the vehicle are using or are about to use deadly physical force against the member or another person. Therefore, shooting at a fleeing vehicle that is traveling away from the member and is no longer a threat to the member or a third person is prohibited.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,210565,1,2020,no,yes (pre-launch),yes (post-launch),no,no,no,no,no
Sacramento,1,"Yes. Policy states ""Impact on Police Violence: Requires officers to use de-escalation when possible. 
Policy Language: ""Officers are expected to use de-escalation techniques when reasonably possible and without increasing the risk of harm to officers or others in an effort to reduce or eliminate the use of force. When reasonable under the totality of the circumstances and where it may be accomplished without increasing the risk of harm to officers or others, officers should attempt to de-escalate situations. De escalation techniques include, but are not limited to, gathering information about the incident; assessing risks; gathering resources (personnel and equipment); using time, distance, cover; using crisis intervention techniques; and communicating and coordinating a response.""",1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do sound without increasing the risk of harm to officers or others, intercede to prevent the use of unreasonable force. An officer who observes another employee use force that exceeds the degree of force permitted by law shall promptly report these observations to a supervisor.""",1,"Yes. Policy states ""A verbal warning should precede the use of deadly force where feasible and when it will not increase the risk of harm to officers or others.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,"Yes. Policy states ""Officers are required to report or document all uses of force, including when they point a firearm at a civilian.
The pointing of a firearm at a person shall be documented in the appropriate report or on the CAD call.""",1,"Yes. Policy states ""In determining whether deadly force is necessary, officers shall evaluate each situation considering the circumstances of each case and shall use other available resources and techniques if reasonably safe and feasible to a reasonable officer.""",0,This city is currently reviewing/considering adopting a Use of Force continuum or Matrix.,2019,467597,1,2020,yes (pre-launch),under review,yes (post-launch),yes (pre-launch),under review,yes (pre-launch),yes (pre-launch),yes (pre-launch)
San Antonio,1,"Yes. 05.F.A: If circumstances allow, Officers should attempt to de-escalate tense situations through advisements,
 warnings, verbal persuasion, and other tactics to reduce the need for force.",1,"Yes. Policy states ""Lateral Vascular Neck Restraint (LVNR) - hold, or carotid chokehold, The lateral vascular neck restraint (LVNR), commonly known as a sleeper  is a general term for a grappling hold that critically reduces or prevents either air (choking) or  blood (strangling) from passing through the neck of an opponent. The restriction may be of one or both and depends on  the hold used and the reaction of the victim. The use of a lateral vascular neck restraint (LVNR) is prohibited.""",1,"Yes
 .05.G: Any officer present and observing another officer using force that is clearly beyond that which is reasonable under
 the circumstances shall, when in a position to do so, safely intercede to prevent the use of such excessive force.
 Officers shall immediately report these observations to a supervisor.",1,"Yes. Policy states ""Unless there is a serious threat of serious harm officers shall, identify themselves as a police officer and issue verbal warnings prior to using deadly force.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
 3. At or from a moving vehicle, except as the ultimate measure of self-defense or defense of another. Officers should employ all reasonable means available to move to an area of safety if the vehicle becomes a threat, including retreating from the threat, if practical.",1,"Yes. Policy states ""Officers shall include in any required offense/incident report a detailed statement describing any force or threatened use of an ECD or firearm and the circumstances and facts surrounding the use or threatened use of force.""",1,"Yes. Policy states ""At the point when an officer should reasonably perceive the potential exists that deadly force may be an outcome of any situation, the officer must use reasonable alternatives, if time and opportunities permit. The reasonableness of the action is based upon the time available, the opportunity of performing the action, and the facts apparent to the officer prior to and during the incident.""",1,Yes.,2020,1327407,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (post-launch),no,yes (post-launch),yes (pre-launch),yes (post-launch)
San Bernardino,1,"Yes. Policy states ""Officers should use verbal techniques to de-escalate confrontations.""",1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""300.2.1 DUTY TO INTERCEDE
Any officer present and observing another officer using force that is clearly beyond that which
is objectively reasonable under the circumstances shall, when in a position to do so, intercede
to prevent the use of unreasonable force. An officer who observes another employee use force
that exceeds the degree of force permitted by law shall promptly report these observations to a
supervisor.""",1,"Yes. Policy states ""a verbal warning should precede the use of deadly force, when feasible",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""300.4.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of
an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants. An officer should only discharge their firearm at the vehicle or its occupants when the officer reasonably believes there are no other reasonable means available to avert the threat of the vehicle, or if deadly force other than the vehicle is directed at the officer or others.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,1996,209924,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
San Diego,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""A officer shall intervene using actions such as verbally advising the other officer or physical restraining the other officer to prevent or stop an escalation of force. When safe to do so, the officer shall report the intervention to a supervisor as soon as possible. The supervisor shall immediately notify their chain of command and/or the watch commanderÃ•s office and the appropriate unit shall immediately begin an investigation.Appropriate disciplinary action, consistent with SDPD policy and applicable law, will be taken against an officer who fails to intervene when required.""",1,"Yes. Policy states ""A verbal warning to submit to the authority of the officer shall be given prior to the use of a firearm, if feasible, and if doing so would not increase the danger to the officer or other persons.""",0,"No. Allows officers to shoot at moving vehicles even if only the vehicle is considered the threat. 
""Officers shall not discharge a firearm at an occupant of a vehicle unless:
a. The officer has probable cause to believe that the subject or the vehicle poses an immediate threat of death or serious physical harm to the officer and there is no reasonable alternative for the officer to avoid the harm; or,
b. The officer has probable cause to believe that the subject or the vehicle poses an immediate threat of death or serious physical harm to other persons.
7. Officers shall not knowingly position themselves in the path of a moving vehicle.""",1,"Yes. Policy states For reporting purposes, the following are considered use of force:
1. Any force option, control hold or weaponless defense technique applied to a person, or any force that causes injury or complaint of injury to either the officer or the subject being restrained.
2. Discharge of a firearm in an official capacity;
3. Discharge of a taser;
4. Use of the baton, police nunchaku (O.P.N.), or other impact weapons where the suspect has been struck;
5. Use of any type of chemical agent (mace, OC, etc.);
6. Use of carotid restraint;
7. Use of Police Service Dog when a bite or other injury occurs;
8. Use of maximum restraint with the cordcuff;
9. Use of the safety control chair as outlined in Department Procedure 6.01 (Handcuffing, Searching and Transporting Procedures);
10. Use of restraint car seats as outlined in Department Procedure 6.01 (Handcuffing, Searching and Transporting Procedures);
11. Handcuffing - When the officer overcomes physical resistance to applying the handcuffs; and,
12. Use of _specialty munitions as defined in DP 1.36."" p. 6

Also, pointing a firearm at a person also appears to be reported as data shows 1027 incidents of this in 2014: https://www.nbcsandiego.com/news/local/SDPD-Releases-New-Use-of-Force-Data-370737811.html",1,"Yes. Policy states ""Members shall only use force in accordance with law and established Department procedures. Members shall not use more force than is reasonably necessary under the circumstances. Department policy places a greater value on the preservation of life than on the apprehension of criminal offenders. Deadly force shall be used only when all reasonable alternatives have been exhausted or appear impractical.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,1307402,1,2020,yes (post-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),no,yes (pre-launch),yes (post-launch),yes (pre-launch)
San Francisco,1,"Yes. Policy states ""Officers shall, when feasible, employ de-escalation techniques to decrease the likelihood of the need to use force during an incident and to increase the likelihood of voluntary compliance. Officers shall when feasible, attempt to understand and consider the possible reasons why a subject may be noncompliant or resisting arrest. A subject may not be capable of understanding the situation because of a medical condition; mental, physical, or hearing impairment; language barrier; drug interaction; or emotional crisis, and have no criminal intent. These situations may not make the subject any less dangerous, but understanding a subjectÃ•s situation may enable officers to calm the subject and allow officers to use de-escalation techniques while maintaining public and officer safety. Officers who act to de-escalate an incident, which can delay taking a subject into custody, while keeping the public and officers safe, will not be found to have neglected their duty. They will be found to have fulfilled it.""",1,"Yes. Policy states ""Officers are prohibited from using the following control holds:
a. Carotid restraint;
b. Choke hold--choking by means of pressure to the subjects trachea or other means that prevent breathing.""",1,"Yes. Policy states ""When in a position to do so, officers shall intervene when they know or have reason to know, that another officer is about to use, or is using, unnecessary force. Officers shall promptly report any use of unnecessary force and the efforts made to intervene to a supervisor.""",1,"Yes . Policy states ""VERBAL WARNING. If feasible, and if to do so would not increase the danger to the officer or others, a verbal warning to submit to the authority of the officer shall be given prior to the use of deadly force.""",1,"Yes. Policy states ""Policy Language: Section 2.e: MOVING VEHICLES. An officer shall not discharge a firearm at the operator or occupant of a moving vehicle unless the operator or occupant poses an immediate threat of death or serious bodily injury to the public or an officer by means other than the vehicle. Officers shall not discharge a firearm from his or her moving vehicle.""",1,"Yes. While the original policy states that officers are not required to report when they point a firearm at a civilian, unless it discharges, as of December 11 a new department policy has made pointing firearm now a reportable use of force http://sf-police.org/index.aspx?recordid=1411&page=3763",1,"Yes. Policy states ""It is the policy of this Department to use deadly force only as a last resort when reasonable alternatives have been exhausted or are not feasible to protect the safety of the public and police officers. The use of firearms and other deadly force is the most serious decision an officer may ever make. When safe and feasible under the totality of circumstances, officers shall consider other objectively reasonable force options before discharging a firearm or using other deadly force.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,805235,0,2015,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch)
San Jose,1,"Yes. Policy states ""L 2602.5: Officers shall consider tactically repositioning themselves if doing so can be accomplished safely and may assist in de-escalating a situation.""",1,"Yes. Policy states ""The ""Carotid Restraint"" may be used when other control techniques have failed or are inappropriate and deadly force may become objectively reasonable if the ""Carotid Restraint"" is not used.""
""The chokehold is prohibited as an authorized control technique to overcome resistance and shall not be used for this purpose. However, a chokehold may only be used by an officer as a deadly force option""",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""When feasible, officers shall, prior to the use of deadly force, make reasonable efforts to identify themselves as a peace officer and to warn that deadly force may be used, unless the officer has objectively reasonable grounds to believe the person is aware of those facts.""",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""Shooting at the driver or occupant of a moving vehicle in self-defense or the defense of another is an option only if:
- The officer reasonably believes he or she, or another person, cannot move to a safe position, and
- There are no other safe and viable options available, and
- It is in defense of the life of the officer or another person.""",1,"Yes. In 2019 San Jose City Council passed a new policy requiring officers to report all uses of force, including when they point a firearm at a civilian.",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,945942,0,2016,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no,no,no,yes (pre-launch)
Santa Ana,0,"No. Instead, de-escalation is suggested in limited circumstances where officers believe the person to be having a mental health crisis. Policy Language: ""Employing traditional police tactics to manage psychotic individuals could escalate an already volatile situation. Project a calm, confident, and reassuring presence. Establish a secure perimeter before contacting the person. Then focus on using defusing and de escalation techniques to lessen the personÃ•s anxiety or fear. Avoid confronting the person or shouting commands. Remove distractions or other upsetting influences including family members if necessary.""",1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""300.2.1 DUTY TO INTERCEDE
Any officer present and observing another officer using force that is clearly beyond that which is
reasonable under the circumstances shall, when in a position to do so, intercede to prevent the
use of such excessive force. An officer who observes another employee use force that exceeds
the degree of force permitted by law should promptly report these observations to a supervisor.""",1,"Yes. Policy states ""If feasible, prior to using force, which carries a significant risk of serious injury, officers are recommended to give warning that such force may be used. If a warning is not feasible, officers should document why it was not practical to do so.""",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""An officer shall not discharge a firearm at or from a moving vehicle except as the ultimate
measure of self-defense or defense of another when the suspect is using deadly force other than
the vehicle. When the vehicle is the deadly force, a firearm is not likely to safely stop the assault and is
discouraged unless it reasonably appears to the officer that there are no other safe and viable
alternatives available (e.g., the inability to move out of the way).""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,324528,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
Scottsdale,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No. Policy does not ban chokeholds or strangle/carotid holds.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""If a warning is feasible under the circumstances and does not increase the risk to the officer or other person, first identify yourself and give a warning to the person before using deadly force. """,0,No. Policy does not outline a comprehensive ban on shooting at moving vehicles.,0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2003,217385,0,2003,no,yes (pre-launch),no,yes (pre-launch),no,no,no,no
Seattle,1,"Yes. Policy states ""Effective Date: 09/01/2015
1. When Safe under the Totality of the Circumstances and Time and Circumstances Permit, Officers Shall Use De-Escalation Tactics in Order to Reduce the Need for Force
De-escalation tactics and techniques are actions used by officers, when safe and without compromising law enforcement priorities, that seek to minimize the likelihood of the need to use force during an incident and increase the likelihood of voluntary compliance. (See Section 8.050.)
When safe and feasible under the totality of circumstances, officers shall attempt to slow down or stabilize the situation so that more time, options and resources are available for incident resolution.
When time and circumstances reasonably permit, officers shall consider whether a subject's lack of compliance is a deliberate attempt to resist or an inability to comply based on factors including, but not limited to: 
* Medical conditions 
* Mental impairment
* Developmental disability
* Physical limitation
* Language barrier
* Drug interaction
* Behavioral crisis
An officer's awareness of these possibilities, when time and circumstances reasonably permit, shall then be balanced against the facts of the incident facing the officer when deciding which tactical options are the most appropriate to bring the situation to a safe resolution.""",1,"Yes. Bans chokeholds and strangleholds, except for cases when deadly force is authorized.
8.050 - USE OF FORCE DEFINITIONS Neck and carotid restraints may only be used when deadly force is authorized.",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""The officer has given a verbal warning to the suspect, if time, safety, and circumstances permit.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it. Policy states ""Firearms shall not be discharged at a moving vehicle unless a person in the vehicle is immediately threatening the life of the officer or another person with deadly force by means other than the vehicle. The moving vehicle itself shall not presumptively constitute a threat that justifies an officerÃ•s use of deadly force.
An officer threatened by an oncoming vehicle shall, if feasible, move out of its path instead of discharging a firearm at it or any of its occupants.
Officers shall not discharge a firearm from a moving vehicle unless a person is immediately threatening the officer or another person with deadly force.""",1,"Yes. Policy states ""8300.9. Pointing a Firearm at a Person is Type I Reportable Force
Officers shall document all incidents where they point a firearm at a person. See Section 8.400.
8400.1. Officers Shall Report All Uses of Force Except De Minimis Force.""",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,608660,0,2015,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no,no,no,yes (pre-launch)
Spokane,0,"No. Policy states ""While the ultimate objective of every law enforcement encounter is to avoid or minimize injury, nothing in this policy requires an officer to retreat or be exposed to possible physical injury before applying reasonable force.""",0,This city is currently reviewing/considering adopting a policy that would ban chokeholds and strangle/carotid holds.,1,"Yes. Policy states ""Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, intercede to prevent the use of unreasonable force. An officer who observes another employee use force that exceeds the degree of force permitted by law should promptly report these observations to a supervisor.""",1,"Yes. Policy states ""a verbal warning should precede the use of deadly force, where feasible.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants. An officer should only discharge a firearm at a moving vehicle or its occupants when the officer reasonably believes there are no other reasonable means available to avert the threat of the vehicle, or if deadly force other than the vehicle is directed at the officer or others. Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",1,"Yes. Policy states ""The intentional pointing of a firearm"" is considered a reportable use of force.",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,208916,0,2017,no,yes (pre-launch),under review,yes (pre-launch),no,no,yes (pre-launch),yes (pre-launch)
St. Louis,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,Yes. New the new law bans chokeholds or strangleholds (07/07/20).,1,"Yes. Police requires officers to either stop or attempt to stop another sworn employee when excessive force is being inappropriately applied or is no longer required. It shall further include that officers who use force or observe the use of force shall verify that their supervisors are notified following any use-of-force incident. Upon receiving notice of an allegation of excessive use of force, officers shall verify their supervisors are aware of the allegation of unreasonable or unreported use of force by an officer.",1,"Yes. Policy states ""C. 4. Identification as Officer and Verbal Warning: Before shooting at a suspect, an officer will identify him/herself as an officer and state his/her intent to shoot, whenever possible""",1,"Yes. Policy states ""Categorical prohibition on shooting at moving vehicles. 
C. 3.A: Shooting At Moving Vehicles or Suspects in Vehicles
a.An officer will not discharge a firearm at or from a moving vehicle, nor at a suspect in a moving vehicle.""",1,"Yes. New policy states ""DISCHARGED/OTHER DEADLY FORCE (1.3.6.a) to include reporting requirements when a firearm is withdrawn and pointed at a civilian regardless if the weapon is discharged or not.""",1,"Yes. ""Deadly force will be a last resort, and will only be exercised when all reasonable alternatives have been exhausted or appear impractical.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2014,319294,1,2020,yes (post-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (post-launch),yes (post-launch)
St. Paul,1,"Yes. Policy states ""Officers are directed to de-escalate when they can, intervene when they should, and serve all individuals with respect"" ""Officers should attempt to de-escalate encounters before using force to respond to resistance or aggression, when safe to do so.""",1,Yes. New policy states chokeholds and other neck restraints are banned.,1,"Yes. Policy states ""Officers have a duty to intervene to prevent the use of excessive force. Any officer present and observing another officer using force that is clearly unreasonable under the circumstances must, when in a position to do so safely, intervene to prevent the use of excessive force. Officers must promptly report any excessive or unreasonable force to a supervisor. """,1,"Yes. Policy states ""Where reasonable, some type of warning should be given by the officer prior to using deadly force""",1,"Yes. Policy states ""Firearms must not be discharged at a moving vehicle unless a person in the vehicle is immediately threatening the officer or another person with great bodily harm or deadly force. The moving vehicle itself does not presumptively constitute a threat that justifies an officerÃƒï¿½s use of deadly force.""",1,"Yes. Policy states ""Weapon pointing (ECD, less lethal, firearms)"" are considered low-level reportable uses of force.",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,285068,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),yes (pre-launch),no,yes (pre-launch),yes (pre-launch)
St. Petersburg,1,"Yes.Policy states ""It is also the policy of the St. Petersburg Police Department that officers shall exhaust all other reasonable means of apprehension, or defense of themselves or another, before resorting to the use of deadly force"" and ""Officers will attempt to gain voluntary compliance through the use of verbal techniques, prior to employing physical force."" and ""Upon the lowering or elimination of resistance by the subject, officers shall similarly reduce their use of force while maintaining control of the subject."" ""General Order II-42, I, C. It is the policy of the St. Petersburg Police Department that de-escalation is the preferred, tactically sound approach in many critical incidents. """,1,"Yes. Policy states ""Officers shall not, at any time, obstruct the breathing or carotid blood flow of a person by applying any pressure, obstruction or chokehold.""",0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""General Order II-42, B,1, Officers will attempt to gain voluntary compliance through the use of verbal techniques, prior to employing physical force, when practical.""",1,"Yes. Policy states General Order II-42, V, 3. & 4
Officers shall not fire at a moving vehicle or any occupant of a moving vehicle. The OfficerÃ•s use of deadly force may be justified if the occupant of a moving vehicle poses an immediate threat with a firearm, or fires upon an Officer or another, and all other reasonable means to avoid the danger have failed. 
Officers shall not fire from a moving vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""General Order II-42, IV, 5, c.
IV. AUTHORIZED USE OF FORCE
5. Officers may discharge a firearm in connection with the performance of official police duties, for the following reasons:
When other reasonable means to avoid the danger have failed, and the Officer reasonably believes this action is immediately necessary to defend oneself or another from death or serious physical injury.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,244769,0,2013,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no,no
Stockton,1,"Yes. Policy states ""It is the policy of the SPD to de-escalate situations without using force when possible.Ã“",1,Yes. New policy bans use of chokeholds and carotid holds.,1,"Yes. Policy states ""Department members shall take authorized and necessary action to intervene and prevent or stop the use of excessive force by another officer when it is safe and reasonable to do so.Ã“",1,"Yes. Policy states ""Deadly force will not be used to apprehend a fleeing felon unless there is reasonable cause to believe that the suspect has committed a crime involving the infliction or threatened infliction of serious physical harm and, where feasible, the Department member has given warning that deadly force is about to be used.Ã“",0,"No. Does not limit shooting at moving vehicles to only those situations where deadly force is being used against others by means other than the vehicle. Allows shooting at vehicles if they're operated in a manner ""deliberately intended to strike an officer or another person.""
Deadly force is never authorized:
3. At a moving vehicle unless:
A. A person in the vehicle is threatening the officer or another person with deadly
force by means other than the vehicle; or
B. The vehicle is operated in a manner that reasonably appears deliberately
intended to strike an officer or another person, and all other reasonable means of
defense have been exhausted (or are not present or practical).",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Firearms may be discharged in the performance of a police duty only under the following circumstances: a. When necessary in the defense of another personÃ•s life, when all other reasonable means have failed, or are impractical. b. When necessary in the defense of an officerÃ•s life, when all other reasonable means have failed, or are impractical. c. When necessary to effect the capture of, or prevent the escape or the rescue of a person whom the officer has reasonable cause to believe has committed a felony involving the use of, or threat to use deadly force when all other reasonable means have failed, or are impractical.Ã’",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2017,291707,1,2020,yes (pre-launch),no,yes (post-launch),yes (pre-launch),no,yes (pre-launch),yes (pre-launch),no
Tampa,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. New policy states Ã’Chokeholds are prohibited unless deadly force is justified.Ã“A spokesperson for the Tampa Police Department told the I-Team, Ã’The chokehold - or stranglehold - was banned in the 1990Ã•s as an authorized use of force by the Tampa Police Department unless deadly force was required. Since then, these techniques have not been listed as use of force options, and were not taught by our department. June 6, we incorporated text into our SOPÃ•s in order to make it clear to the public that these techniques are not authorized uses of force unless deadly force is required.Ã“",1,Yes. Policy requires officers to intervene when witnessing excessive force by another officer.,1,"Yes. Policy states ""When possible, officers will provide verbal warnings or direction to suspects before using deadly force.""",0,"Yes. Policy stares ""Department employees shall report each instance of response to resistanceor deployment ofany less than lethal system, which shall include the pointing of a weapon and submit a written report or recorded statements containing detailed information relating to the type and degree of force used. Response to resistancereports will be submitted nolater than the end of the shift in which the force was used.""",1,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. The Mayor of Tampa stated she is changing two policies, one of which is requiring officers to intervene if they witness another officer using excessive force. (2020)",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2014,335709,1,2020,no,yes (pre-launch),yes (post-launch),yes (post-launch),no,yes (post-launch),yes (post-launch),yes (post-launch)
Toledo,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No. Policy does not ban chokeholds or strangle/carotid holds.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states, per 7.2.1.c."" IF FEASIBLE, some warning has been given.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""The discharging of a firearm at a moving motor vehicle is prohibited, unless other alternatives are impractical, or would present a greater risk to the officer, or to others.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,287208,0,2015,no,yes (pre-launch),no,yes (pre-launch),no,no,no,no
